OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-08-29T01:48:57.142368,13.76689947,0.002794,90.2173,73.4622,72.8618,24.4192,0,U,900,999,8145,0.00048813,4.9e-06,0
CALSPHERE 2,1964-063E,2026-08-28T12:16:49.242720,13.52905009,0.0019356,90.229,77.5019,23.1385,40.2028,0,U,902,999,86604,7.1238e-05,5.6e-07,0
LCS 1,1965-034C,2026-08-29T01:51:51.896736,9.89310623,0.00116,32.1463,3.9571,19.8165,340.2782,0,U,1361,999,21710,-0.0004041,5e-08,0
TEMPSAT 1,1965-065E,2026-08-28T21:48:22.538880,13.33597528,0.0071242,90.0024,212.6015,45.6106,343.0045,0,U,1512,999,96974,1.8999e-05,1.9e-07,0
CALSPHERE 4A,1965-065H,2026-08-29T02:08:26.092896,13.36288979,0.0067872,89.8935,121.7609,257.9658,201.8371,0,U,1520,999,97244,0.00016252,9.3e-07,0
OPS 5712 (P/L 160),1967-053A,2026-08-29T04:48:53.744256,14.78536835,0.0004483,69.915,219.2104,280.9962,79.0682,0,U,2826,999,7702,0.0010994,7.978e-05,0
LES-5,1967-066E,2026-08-29T05:09:58.711104,1.09426176,0.0051553,2.7881,94.2315,214.5741,358.8623,0,U,2866,999,13183,0,-1.07e-06,0
SURCAL 159,1967-053F,2026-08-29T04:44:16.035648,13.99616998,0.0006528,69.973,203.608,356.2177,3.888,0,U,2872,999,2042,6.4764e-05,4.1e-07,0
OPS 5712 (P/L 153),1967-053H,2026-08-28T22:47:35.234304,13.96837274,0.0004642,69.9757,319.3451,107.1473,253.0142,0,U,2874,999,1695,5.0167e-05,1.7e-07,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-08-29T04:36:17.307072,14.37944091,0.0059243,87.624,318.5489,352.8926,7.1426,0,U,5398,999,88437,0.0001448,4.64e-06,0
OSCAR 7 (AO-7),1974-089B,2026-08-28T23:46:20.907264,12.53699346,0.0012216,101.9921,254.9984,354.2069,32.1306,0,U,7530,999,36964,9.1679e-05,-3.2e-07,0
STARLETTE,1975-010A,2026-08-29T04:16:57.957312,13.82351457,0.0205707,49.8238,176.4855,304.1841,53.9704,0,U,7646,999,60463,-2.9727e-06,-1.45e-06,0
LAGEOS 1,1976-039A,2026-08-28T21:29:06.665856,6.38664793,0.00446382,109.8129,204.216,286.6805,85.7401,0,U,8820,999,91778,0,5e-08,0
PHASE 3B (AO-10),1983-058B,2026-08-22T21:16:39.881280,2.05871966,0.59889826,25.9661,208.6277,133.9728,294.5118,0,U,14129,999,29686,0,-3.1e-06,0
UOSAT 2 (UO-11),1984-021B,2026-08-28T15:21:28.275840,14.90952907,0.00063866,97.8137,205.4419,313.629,46.4398,0,U,14781,999,26792,0.00014419719,1.368e-05,0
AJISAI (EGS),1986-061A,2026-08-29T03:17:03.611904,12.44517185,0.0011229,50.0089,283.0807,6.3345,74.0213,0,U,16908,999,48947,0.00016762,-7.4e-07,0
TDRS 3,1988-091B,2026-08-28T04:12:21.105792,1.00264911,0.00367935,12.5485,340.5136,352.6995,17.1818,0,U,19548,999,12611,0,-2.93e-06,0
COSMOS 1989 (ETALON 1),1989-001C,2026-08-28T21:41:46.908960,2.13156034,0.00233792,64.9915,69.7104,217.4029,107.4339,0,U,19751,999,29291,0,3.4e-07,0
COSMOS 2024 (ETALON 2),1989-039C,2026-08-29T04:42:45.355392,2.13204658,0.0020858,64.8858,308.0181,212.2294,147.2644,0,U,20026,999,29005,0,-1.5e-07,0
FLTSATCOM 8 (USA 46),1989-077A,2026-08-27T17:00:12.540672,1.0026099,0.00015027,12.4025,350.7231,156.9881,208.6452,0,U,20253,999,26128,0,-3.63e-06,0
LUSAT (LO-19),1990-005G,2026-08-29T00:28:44.821344,14.34140615,0.001143,98.8837,264.8262,358.2562,1.858,0,U,20442,999,91283,4.4611e-05,7.8e-07,0
HST,1990-037B,2026-08-28T13:23:06.360000,15.31487121,0.000166,28.4732,305.6703,216.3861,143.6623,0,U,20580,999,79967,0.00017845,5.82e-05,0
TDRS 5,1991-054B,2026-08-28T13:36:39.472992,1.00273754,0.0008516,14.0626,353.2301,246.767,133.2951,0,U,21639,999,12844,0,9.1e-07,0
LAGEOS 2,1992-070B,2026-08-21T09:32:35.937888,6.47294115,0.0138023,52.6388,225.4441,215.8898,299.2312,0,U,22195,999,79964,0,-9e-08,0
TDRS 6,1993-003B,2026-08-27T22:48:39.204000,1.00263755,0.0010188,14.1847,356.5158,195.8331,79.8274,0,U,22314,999,12312,0,-2.9e-06,0
