epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.206,2.20528,5.8327,2.15226,0.13055,0.19309,0.07052,0.02077,2.52004,4.83436,2.21279,0.000412186,0.000412186,0.000412186
2,48.9565,2.30064,3.28021,2.25138,0.05891,0.29507,0.03762,0.01209,2.67074,19.9152,2.55046,0.000812442,0.000812442,0.000812442
3,72.3441,2.29535,3.12509,2.26018,0.1686,0.01871,0.01633,0.0049,4.26421,8.16078,7.65323,0.0011962,0.0011962,0.0011962
4,95.978,2.25829,3.20286,2.25958,0.37108,0.13005,0.04942,0.01597,2.58195,5.2992,2.37696,0.00117575,0.00117575,0.00117575
5,119.602,2.26907,3.18425,2.29523,0.36945,0.05249,0.03965,0.01232,2.72035,4.3532,2.43355,0.001151,0.001151,0.001151
6,143.321,2.23202,3.1523,2.21672,0.10868,0.13195,0.07594,0.02389,2.56358,4.98587,2.2529,0.00112625,0.00112625,0.00112625
7,166.922,2.23629,2.97712,2.19458,0.6077,0.11754,0.07646,0.0209,2.56131,4.6195,2.30906,0.0011015,0.0011015,0.0011015
8,190.382,2.18302,2.97399,2.08533,0.16478,0.20018,0.10834,0.03386,2.43748,3.21242,2.15724,0.00107675,0.00107675,0.00107675
9,214.209,2.10244,2.84248,2.10317,0.44325,0.14905,0.10694,0.03463,2.37834,3.08589,2.16749,0.001052,0.001052,0.001052
10,238.337,2.0905,2.83453,2.05585,0.19946,0.2308,0.12991,0.04308,2.303,3.0897,2.09503,0.00102725,0.00102725,0.00102725
11,262.369,2.04563,2.75657,2.00898,0.14772,0.25471,0.1416,0.04938,2.27319,3.30716,2.03212,0.0010025,0.0010025,0.0010025
12,286.036,2.04784,2.6858,2.05293,0.23201,0.2676,0.13613,0.05159,2.26396,2.95467,2.05628,0.00097775,0.00097775,0.00097775
13,309.652,2.00379,2.67337,1.98795,0.21423,0.28824,0.16764,0.05675,2.25163,2.688,2.01393,0.000953,0.000953,0.000953
14,333.32,2.00661,2.55228,1.96993,0.47841,0.22781,0.20063,0.06857,2.28462,2.64824,2.00366,0.00092825,0.00092825,0.00092825
15,356.91,1.95786,2.58073,1.94825,0.2735,0.3377,0.21308,0.07713,2.16276,2.6768,1.94641,0.0009035,0.0009035,0.0009035
16,380.51,1.98999,2.55304,1.94047,0.45119,0.28469,0.26143,0.08893,2.28572,2.56524,2.054,0.00087875,0.00087875,0.00087875
17,404.149,1.95107,2.52492,1.95536,0.21067,0.33773,0.17832,0.06031,2.28805,2.6595,2.08138,0.000854,0.000854,0.000854
18,427.649,1.94964,2.52755,1.94468,0.28922,0.33257,0.24995,0.08454,2.26194,2.56818,1.98244,0.00082925,0.00082925,0.00082925
19,451.126,1.89979,2.4429,1.89099,0.54591,0.24094,0.27397,0.11045,2.16642,2.36906,1.93536,0.0008045,0.0008045,0.0008045
20,474.671,1.92337,2.39746,1.89662,0.25869,0.39805,0.24948,0.09109,2.21305,2.52822,1.95355,0.00077975,0.00077975,0.00077975
21,498.413,1.89653,2.36836,1.88745,0.48049,0.32947,0.33138,0.13296,2.2096,2.22109,1.94372,0.000755,0.000755,0.000755
22,522.01,1.89228,2.33233,1.87614,0.33817,0.28935,0.2603,0.10056,2.14077,2.34142,1.93835,0.00073025,0.00073025,0.00073025
23,545.566,1.85016,2.38982,1.85238,0.35522,0.3585,0.23846,0.08529,2.27294,2.57004,1.99805,0.0007055,0.0007055,0.0007055
24,569.001,1.87244,2.35192,1.85131,0.60879,0.33197,0.34692,0.13705,2.14372,2.27032,1.89777,0.00068075,0.00068075,0.00068075
25,592.482,1.84491,2.27457,1.8441,0.50771,0.32924,0.33746,0.14324,2.05842,2.16436,1.82741,0.000656,0.000656,0.000656
26,615.988,1.84631,2.26839,1.83895,0.40923,0.37209,0.3546,0.14813,2.11546,2.1767,1.89965,0.00063125,0.00063125,0.00063125
27,639.402,1.78776,2.17491,1.83608,0.46292,0.37302,0.39466,0.14569,2.10067,2.166,1.85958,0.0006065,0.0006065,0.0006065
28,662.871,1.82442,2.21732,1.82599,0.48597,0.38228,0.35571,0.14603,2.03711,2.18849,1.83672,0.00058175,0.00058175,0.00058175
29,686.318,1.80771,2.20168,1.83094,0.36065,0.33506,0.31733,0.12199,2.11276,2.17717,1.86758,0.000557,0.000557,0.000557
30,709.641,1.77329,2.14461,1.7985,0.43628,0.4149,0.34493,0.14407,2.10102,2.09834,1.86105,0.00053225,0.00053225,0.00053225
31,733.172,1.78986,2.14777,1.81149,0.59207,0.37371,0.36824,0.16271,2.02311,2.08069,1.8099,0.0005075,0.0005075,0.0005075
32,756.662,1.73176,2.08357,1.77082,0.35391,0.35755,0.35342,0.1471,2.02666,2.14761,1.80201,0.00048275,0.00048275,0.00048275
33,780.04,1.76052,2.02468,1.77966,0.38703,0.41647,0.37075,0.15702,2.06387,2.04061,1.81497,0.000458,0.000458,0.000458
34,803.477,1.74782,2.03532,1.72565,0.51554,0.42245,0.41797,0.1718,2.01716,1.9972,1.79084,0.00043325,0.00043325,0.00043325
