epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0052,2.2843,5.61946,2.13951,0.15966,0.10106,0.04757,0.01364,2.58393,7.80659,2.35816,0.000412186,0.000412186,0.000412186
2,48.7422,2.30273,3.2639,2.13031,0.04588,0.18902,0.01881,0.00537,2.77633,9.85919,2.78611,0.000812442,0.000812442,0.000812442
3,72.2252,2.31075,3.18434,2.24977,0.07865,0.17744,0.03834,0.01072,2.62932,22.4655,3.12842,0.0011962,0.0011962,0.0011962
4,95.6315,2.26566,3.02366,2.18795,0.13157,0.10059,0.06533,0.02245,2.52994,4.02328,2.44799,0.00117575,0.00117575,0.00117575
5,119.188,2.28567,3.0494,2.19928,0.15451,0.22216,0.09311,0.03324,2.39996,4.35463,2.2266,0.001151,0.001151,0.001151
6,142.855,2.22786,2.98895,2.12974,0.12588,0.17313,0.07554,0.026,2.49211,5.73894,2.29608,0.00112625,0.00112625,0.00112625
7,166.872,2.16958,2.94634,2.12254,0.1046,0.14233,0.0606,0.01919,2.40171,13.1294,2.22539,0.0011015,0.0011015,0.0011015
8,190.478,2.14127,2.88711,2.08,0.20302,0.1873,0.1233,0.04407,2.31709,3.36472,2.11792,0.00107675,0.00107675,0.00107675
9,214.101,2.12262,2.76324,2.06539,0.3408,0.23281,0.17588,0.06317,2.33614,3.14432,2.09046,0.001052,0.001052,0.001052
10,237.77,2.10737,2.77952,2.08496,0.41382,0.19633,0.11932,0.03876,2.2915,3.09136,2.0673,0.00102725,0.00102725,0.00102725
11,261.297,2.07552,2.70623,1.99676,0.23795,0.25281,0.14937,0.05018,2.26886,2.8215,2.06951,0.0010025,0.0010025,0.0010025
12,284.781,2.03818,2.66109,1.97304,0.19438,0.2155,0.13971,0.04786,2.28937,2.84084,2.08488,0.00097775,0.00097775,0.00097775
13,308.253,2.03937,2.63986,1.98525,0.22351,0.22107,0.13726,0.04816,2.26421,2.89787,2.07821,0.000953,0.000953,0.000953
14,331.553,1.98543,2.65555,1.95968,0.25839,0.3131,0.2047,0.07147,2.22521,2.71766,2.02068,0.00092825,0.00092825,0.00092825
15,355.186,1.97656,2.58663,1.97144,0.26786,0.23606,0.18435,0.06945,2.18563,2.63466,1.96898,0.0009035,0.0009035,0.0009035
16,378.623,1.99472,2.56389,1.90304,0.28804,0.2243,0.20184,0.06552,2.25383,2.62759,2.0377,0.00087875,0.00087875,0.00087875
17,402.152,1.91604,2.38701,1.87625,0.62565,0.22286,0.24578,0.08735,2.18715,2.60957,1.99318,0.000854,0.000854,0.000854
18,425.702,1.91821,2.4091,1.88952,0.38046,0.27813,0.23669,0.0814,2.20494,2.49087,2.0015,0.00082925,0.00082925,0.00082925
19,449.1,1.9176,2.422,1.88459,0.4674,0.29715,0.27413,0.10128,2.16485,2.48675,1.93796,0.0008045,0.0008045,0.0008045
20,472.908,1.92753,2.43053,1.9021,0.49605,0.29614,0.28366,0.11365,2.11264,2.41712,1.90948,0.00077975,0.00077975,0.00077975
21,496.592,1.92092,2.43399,1.85592,0.32417,0.28102,0.20917,0.07466,2.2738,2.56117,2.10737,0.000755,0.000755,0.000755
22,520.052,1.88049,2.3717,1.82303,0.36711,0.30237,0.2881,0.10219,2.20467,2.39658,1.95249,0.00073025,0.00073025,0.00073025
23,543.49,1.86065,2.32384,1.80211,0.49984,0.27498,0.2977,0.10859,2.12624,2.30855,1.90618,0.0007055,0.0007055,0.0007055
24,567.147,1.8552,2.23208,1.82206,0.4263,0.27891,0.28278,0.10147,2.20055,2.33394,1.95939,0.00068075,0.00068075,0.00068075
25,590.642,1.84452,2.24072,1.79383,0.3588,0.3943,0.29867,0.10822,2.16062,2.29647,1.91601,0.000656,0.000656,0.000656
26,614.118,1.84022,2.19693,1.78556,0.39074,0.33569,0.31251,0.12186,2.1826,2.28894,1.92487,0.00063125,0.00063125,0.00063125
27,637.606,1.86112,2.17026,1.81379,0.42679,0.39283,0.33833,0.13096,2.18956,2.22961,1.93332,0.0006065,0.0006065,0.0006065
28,661.216,1.8192,2.12664,1.76447,0.48284,0.35674,0.3532,0.14568,2.14153,2.15015,1.88081,0.00058175,0.00058175,0.00058175
29,684.924,1.81882,2.1804,1.76073,0.41189,0.34895,0.32728,0.13889,2.08249,2.20163,1.88779,0.000557,0.000557,0.000557
30,708.357,1.80077,2.14741,1.75023,0.36966,0.36198,0.33523,0.1321,2.10286,2.14086,1.8664,0.00053225,0.00053225,0.00053225
