epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8391,2.29376,5.88855,2.2351,0.00861,0.1623,0.00825,0.0021,2.54813,9.84038,2.49083,0.000412186,0.000412186,0.000412186
2,48.5098,2.35653,3.49604,2.32459,0.12097,0.13933,0.07522,0.02946,2.9573,4.11307,3.272,0.000812442,0.000812442,0.000812442
3,72.4977,2.32398,3.2511,2.30157,0.03253,0.15835,0.01259,0.00419,2.97599,24.5848,3.28455,0.0011962,0.0011962,0.0011962
4,96.3029,2.25902,3.24339,2.29252,0.35713,0.21338,0.04349,0.01294,2.66472,5.03494,2.41597,0.00117575,0.00117575,0.00117575
5,120.054,2.28033,3.26081,2.275,0.16796,0.05765,0.02394,0.00681,2.89454,9.93222,2.51135,0.001151,0.001151,0.001151
6,144.068,2.24216,3.22575,2.22539,0.34109,0.22124,0.04724,0.01598,2.72084,21.5752,2.72507,0.00112625,0.00112625,0.00112625
7,167.923,2.19726,3.10873,2.19223,0.06632,0.21454,0.04752,0.01481,2.5707,4.98165,2.23904,0.0011015,0.0011015,0.0011015
8,191.914,2.18005,3.11609,2.14155,0.13462,0.18182,0.10345,0.03337,2.42318,3.78434,2.23188,0.00107675,0.00107675,0.00107675
9,215.67,2.15702,3.03414,2.14167,0.43012,0.21631,0.09348,0.02795,2.43494,3.50049,2.25349,0.001052,0.001052,0.001052
10,239.284,2.11101,2.91907,2.07266,0.64091,0.07205,0.09048,0.02855,2.34085,3.62405,2.16408,0.00102725,0.00102725,0.00102725
11,262.81,2.08187,2.86436,2.06467,0.41053,0.14542,0.10819,0.03846,2.38034,2.91225,2.08995,0.0010025,0.0010025,0.0010025
12,286.497,2.09018,2.80895,2.08719,0.39719,0.25203,0.1463,0.06246,2.33671,3.00657,2.09978,0.00097775,0.00097775,0.00097775
13,310.051,2.06681,2.76393,2.04752,0.47011,0.17319,0.13117,0.04327,2.28009,2.70474,2.04697,0.000953,0.000953,0.000953
14,333.578,2.01998,2.73915,2.00254,0.42829,0.17206,0.12809,0.04578,2.26917,2.86936,2.01372,0.00092825,0.00092825,0.00092825
15,357.169,2.00275,2.72642,2.00169,0.23938,0.2299,0.17553,0.06754,2.2314,2.64101,2.02665,0.0009035,0.0009035,0.0009035
16,380.686,1.99853,2.67549,1.9766,0.52172,0.21478,0.2356,0.0861,2.28086,2.78118,2.07986,0.00087875,0.00087875,0.00087875
17,404.321,1.96548,2.61041,1.96135,0.44701,0.26615,0.22617,0.07817,2.13479,2.60282,1.90646,0.000854,0.000854,0.000854
18,427.673,1.96159,2.59307,1.95594,0.24122,0.27552,0.22085,0.08112,2.19776,2.55764,1.97256,0.00082925,0.00082925,0.00082925
19,451.038,1.93907,2.51185,1.91675,0.32159,0.37217,0.28105,0.11666,2.06634,2.53325,1.86784,0.0008045,0.0008045,0.0008045
20,474.62,1.94393,2.53423,1.9254,0.55304,0.22991,0.24826,0.09348,2.22928,2.44551,1.99273,0.00077975,0.00077975,0.00077975
21,498.05,1.88639,2.50934,1.89902,0.38098,0.27084,0.27725,0.10537,2.12714,2.37993,1.89982,0.000755,0.000755,0.000755
22,521.71,1.9111,2.47572,1.90127,0.25979,0.31792,0.24913,0.09686,2.15973,2.43976,1.91714,0.00073025,0.00073025,0.00073025
23,545.163,1.88149,2.43932,1.8804,0.39474,0.25515,0.25978,0.09295,2.18001,2.44818,1.96577,0.0007055,0.0007055,0.0007055
24,568.596,1.87351,2.4231,1.84669,0.40711,0.29158,0.27322,0.10325,2.16855,2.33206,1.91528,0.00068075,0.00068075,0.00068075
25,592.053,1.85825,2.33441,1.85158,0.46524,0.34073,0.30785,0.12047,2.07422,2.28171,1.81479,0.000656,0.000656,0.000656
26,615.612,1.87082,2.36045,1.875,0.37028,0.39385,0.31613,0.12681,2.04374,2.38929,1.84762,0.00063125,0.00063125,0.00063125
27,639.557,1.81297,2.28989,1.86735,0.38438,0.36875,0.34825,0.13487,2.0924,2.15388,1.83776,0.0006065,0.0006065,0.0006065
28,663.438,1.83316,2.30262,1.84375,0.42712,0.39438,0.34857,0.12831,2.07484,2.1542,1.85071,0.00058175,0.00058175,0.00058175
29,687.138,1.78386,2.28331,1.83051,0.65621,0.2682,0.31628,0.11303,2.16023,2.26521,1.90971,0.000557,0.000557,0.000557
