epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,465.659,0.99493,3.05875,4.00826,1.26702,0,0.55269,0.15562,0.20667,0.18031,0.59549,0.1532,0.20526,0.15851,0.50184,1.69901,3.35729,1.11639,0,0.000107088,0.000107088,0.000107088
2,954.607,0.72675,1.76085,2.83402,1.13484,0,0.45696,0.46733,0.41293,0.37232,0.45428,0.46223,0.40628,0.33313,0.47369,1.38708,2.10809,1.13352,0,0.000200581,0.000200581,0.000200581
3,1376.74,0.66184,1.62788,2.14697,1.10932,0,0.48575,0.52411,0.48932,0.43416,0.48173,0.51902,0.48199,0.40193,0.50323,1.59736,1.78113,1.13682,0,0.000279862,0.000279862,0.000279862
4,1751.02,0.61488,1.561,1.85964,1.07774,0,0.6225,0.56709,0.60714,0.51798,0.62425,0.55933,0.58847,0.47259,0.50787,1.4105,1.57854,1.13944,0,0.000259046,0.000259046,0.000259046
5,2120.09,0.58727,1.51017,1.6702,1.0656,0,0.67745,0.65304,0.69966,0.63402,0.67195,0.64303,0.69079,0.58455,0.4459,1.20048,1.36504,1.10325,0,0.000237728,0.000237728,0.000237728
6,2499.2,0.54994,1.4169,1.51808,1.04418,0,0.68698,0.71897,0.73148,0.65891,0.68224,0.7106,0.72583,0.61541,0.40188,1.11774,1.22983,1.07623,0,0.00021641,0.00021641,0.00021641
7,2922.9,0.52949,1.37493,1.43539,1.03731,0,0.69463,0.73553,0.77046,0.68504,0.68563,0.72655,0.75795,0.64482,0.40727,1.05622,1.17985,1.09563,0,0.000195092,0.000195092,0.000195092
8,3297.19,0.51428,1.33618,1.33359,1.02586,0,0.7366,0.79713,0.8463,0.77192,0.73005,0.792,0.83355,0.71283,0.36378,1.05842,0.93723,1.06245,0,0.000173774,0.000173774,0.000173774
9,3679.85,0.49972,1.3085,1.28145,1.02466,0,0.74283,0.8127,0.84163,0.76529,0.72914,0.80175,0.82814,0.72577,0.36734,1.04862,0.91517,1.05995,0,0.000152456,0.000152456,0.000152456
10,4080.23,0.49033,1.29507,1.22217,1.01885,0,0.72811,0.82055,0.84541,0.77278,0.71831,0.80753,0.8321,0.72299,0.35912,1.02968,0.91602,1.06132,0,0.000131138,0.000131138,0.000131138
11,4489.91,0.47752,1.25953,1.16361,1.01174,0,0.83639,0.85931,0.91271,0.83286,0.82587,0.84849,0.90213,0.79203,0.34789,0.96813,0.71254,1.04674,0,0.00010982,0.00010982,0.00010982
12,4904.71,0.45938,1.22917,1.13173,1.00429,0,0.8227,0.83263,0.8983,0.82788,0.81532,0.82148,0.88711,0.7703,0.34947,1.09829,0.75999,1.06951,0,8.8502e-05,8.8502e-05,8.8502e-05
13,5292.66,0.31649,1.09556,0.86456,0.96269,0,0.87438,0.90393,0.93609,0.87004,0.8654,0.89286,0.9258,0.8316,0.30281,0.81904,0.67393,1.02419,0,6.7184e-05,6.7184e-05,6.7184e-05
14,5634.17,0.2942,1.01008,0.69898,0.95382,0,0.84266,0.9025,0.92641,0.8565,0.83343,0.88501,0.91556,0.81734,0.30556,0.92154,0.63138,1.04237,0,4.5866e-05,4.5866e-05,4.5866e-05
15,5971.76,0.28546,0.99302,0.63134,0.9439,0,0.88225,0.91968,0.9451,0.88665,0.87111,0.9166,0.93643,0.84739,0.26711,0.7847,0.58422,1.00993,0,2.4548e-05,2.4548e-05,2.4548e-05
