epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4688,2.21527,5.16261,2.04318,0.17456,0.19035,0.05689,0.01627,2.55255,6.12169,2.11846,0.000407801,0.000407801,0.000407801
2,32.6549,2.19511,3.00898,1.9797,0.03406,0.05839,0.00397,0.00132,3.06348,4609.61,4.40566,0.000808144,0.000808144,0.000808144
3,47.6313,2.28043,3.00921,2.07767,0.0007,0.12442,0.00037,5e-05,3.05696,11474.5,9.76074,0.00119199,0.00119199,0.00119199
4,62.0369,2.29265,2.9978,2.08175,0.07852,0.29654,0.0426,0.0115,2.806,22.408,2.76251,0.00117575,0.00117575,0.00117575
5,76.8468,2.19392,2.94669,2.05321,0.11196,0.11581,0.04771,0.01532,2.78358,43.1815,2.62804,0.001151,0.001151,0.001151
6,91.369,2.1248,2.74237,1.94983,0.20492,0.07172,0.04524,0.01784,3.04293,34.284,2.53394,0.00112625,0.00112625,0.00112625
7,106.208,2.11398,2.61468,1.95324,0.06822,0.28242,0.06745,0.02337,2.43482,9.82008,2.06189,0.0011015,0.0011015,0.0011015
8,120.945,2.10549,2.65095,1.92836,0.25681,0.16219,0.09413,0.0274,2.63798,3.82516,2,0.00107675,0.00107675,0.00107675
9,135.675,2.05968,2.57506,1.87636,0.26959,0.44915,0.20631,0.07787,2.29153,3.52438,1.81763,0.001052,0.001052,0.001052
10,150.386,2.01069,2.51039,1.87115,0.24531,0.34875,0.16857,0.0539,2.32774,2.8789,1.89235,0.00102725,0.00102725,0.00102725
11,164.997,1.99906,2.4733,1.84087,0.2436,0.20746,0.16654,0.067,2.2847,2.63398,1.84807,0.0010025,0.0010025,0.0010025
12,179.456,1.95536,2.42799,1.79142,0.30648,0.34739,0.23784,0.09268,2.10995,2.65169,1.67802,0.00097775,0.00097775,0.00097775
13,194.407,1.97077,2.33558,1.79553,0.36783,0.38141,0.2459,0.08356,2.33305,2.60433,1.84667,0.000953,0.000953,0.000953
14,208.995,1.94704,2.32174,1.78494,0.35917,0.33033,0.2329,0.09391,2.23019,2.70003,1.80496,0.00092825,0.00092825,0.00092825
15,223.77,1.95303,2.38309,1.82958,0.28988,0.4036,0.29447,0.12188,2.14336,2.9868,1.72024,0.0009035,0.0009035,0.0009035
16,238.548,1.9437,2.31343,1.75981,0.54558,0.25141,0.31453,0.11774,2.23263,2.45365,1.7378,0.00087875,0.00087875,0.00087875
17,253.137,1.89573,2.28741,1.74311,0.59112,0.28898,0.25142,0.08809,2.20939,2.50605,1.75642,0.000854,0.000854,0.000854
18,267.663,1.8762,2.19774,1.72609,0.48116,0.35859,0.30023,0.10836,2.17703,2.34609,1.71799,0.00082925,0.00082925,0.00082925
19,282.166,1.83459,2.17822,1.70467,0.38298,0.37655,0.28916,0.10441,2.12955,2.261,1.68208,0.0008045,0.0008045,0.0008045
20,296.609,1.83025,2.13058,1.67919,0.41491,0.30818,0.3321,0.13462,2.2054,2.30189,1.71025,0.00077975,0.00077975,0.00077975
21,311.323,1.85177,2.13222,1.72125,0.60433,0.41098,0.40507,0.16907,2.18804,2.17428,1.69497,0.000755,0.000755,0.000755
22,326.008,1.87141,2.10066,1.73344,0.33022,0.31148,0.2624,0.09689,2.23339,2.29751,1.80275,0.00073025,0.00073025,0.00073025
23,340.855,1.83797,2.14911,1.71451,0.50534,0.41241,0.39457,0.1645,2.10372,2.06749,1.63071,0.0007055,0.0007055,0.0007055
24,355.524,1.79011,2.02688,1.681,0.43226,0.46143,0.37116,0.15067,2.16697,2.13949,1.69937,0.00068075,0.00068075,0.00068075
25,370.21,1.7606,2.09545,1.65611,0.4622,0.42995,0.39216,0.15939,2.11382,2.1923,1.6639,0.000656,0.000656,0.000656
26,384.819,1.78538,2.03224,1.67464,0.42666,0.37222,0.3899,0.16144,2.13758,2.20933,1.66701,0.00063125,0.00063125,0.00063125
27,399.454,1.79997,2.01024,1.67048,0.65161,0.45017,0.48116,0.20587,2.06432,1.98898,1.61187,0.0006065,0.0006065,0.0006065
28,414.211,1.76723,1.95919,1.63459,0.5457,0.3677,0.38476,0.17329,2.06232,2.09807,1.62838,0.00058175,0.00058175,0.00058175
29,428.907,1.77754,1.98468,1.64412,0.44589,0.40886,0.39114,0.15027,2.12351,1.99175,1.65938,0.000557,0.000557,0.000557
30,443.462,1.71116,1.92675,1.58826,0.62161,0.40553,0.44304,0.19188,2.0727,1.98844,1.60513,0.00053225,0.00053225,0.00053225
31,458.073,1.69856,1.8595,1.60771,0.57906,0.35044,0.40223,0.17111,2.09732,2.02486,1.63923,0.0005075,0.0005075,0.0005075
32,472.69,1.73671,1.85672,1.61341,0.59066,0.39467,0.45236,0.19686,2.01707,1.97298,1.59678,0.00048275,0.00048275,0.00048275
33,487.471,1.68153,1.80625,1.56903,0.64268,0.466,0.47921,0.18864,2.08573,1.93525,1.61021,0.000458,0.000458,0.000458
