epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.754,0.62975,1.92555,1.26167,0.70526,0.09123,0.1062,0.0807,2.63135,5.19073,2.72509,0.000368627,0.000368627,0.000368627
2,124.056,0.43515,1.38863,1.09563,0.32758,0.68635,0.48825,0.46103,0.38854,1.34107,0.83181,0.000718058,0.000718058,0.000718058
3,185.358,0.39762,1.30288,1.06685,0.4246,0.70609,0.44821,0.36523,0.62381,2.16617,1.01336,0.00104654,0.00104654,0.00104654
4,246.763,0.36693,1.25787,1.04526,0.23978,0.67057,0.3128,0.27917,0.33689,1.95463,0.69788,0.00101672,0.00101672,0.00101672
5,308.104,0.35161,1.20631,1.03481,0.50086,0.75675,0.61393,0.58131,0.3053,1.20003,0.69769,0.000985298,0.000985298,0.000985298
6,369.894,0.32173,1.16666,1.01847,0.52697,0.74234,0.64376,0.61277,0.32086,1.03466,0.71609,0.000953873,0.000953873,0.000953873
7,431.457,0.30996,1.13462,1.00988,0.60347,0.71168,0.70993,0.69141,0.26659,1.06059,0.62866,0.000922447,0.000922447,0.000922447
8,493.531,0.31068,1.12295,1.00905,0.5846,0.8195,0.75063,0.74977,0.17984,0.88846,0.55343,0.000891022,0.000891022,0.000891022
9,555.448,0.2931,1.07003,1.00178,0.64653,0.72328,0.7959,0.76557,0.24027,0.94482,0.58948,0.000859597,0.000859597,0.000859597
10,617.102,0.27628,1.03399,0.99002,0.5848,0.76506,0.72066,0.71163,0.184,1.18778,0.53685,0.000828171,0.000828171,0.000828171
11,679.029,0.27947,1.01077,0.99098,0.62251,0.80335,0.7781,0.77351,0.20504,1.03341,0.56359,0.000796746,0.000796746,0.000796746
12,740.844,0.27094,0.98159,0.98936,0.63344,0.67869,0.74894,0.73583,0.2896,0.98876,0.67967,0.00076532,0.00076532,0.00076532
13,802.519,0.26405,0.94551,0.98079,0.56274,0.6786,0.76939,0.76746,0.18292,1.16278,0.52017,0.000733895,0.000733895,0.000733895
14,864.282,0.25698,0.926,0.97623,0.81647,0.84344,0.90636,0.90567,0.18461,0.60497,0.5058,0.000702469,0.000702469,0.000702469
15,926.042,0.25651,0.92942,0.9799,0.56057,0.63167,0.68263,0.64518,0.38585,1.50177,0.82026,0.000671044,0.000671044,0.000671044
16,991.708,0.25059,0.88217,0.97681,0.89188,0.75564,0.90794,0.90431,0.1905,0.67473,0.509,0.000639619,0.000639619,0.000639619
17,1061.75,0.24218,0.85976,0.97025,0.89422,0.90378,0.95825,0.95609,0.15258,0.4361,0.48832,0.000608193,0.000608193,0.000608193
18,1131.38,0.23532,0.81798,0.96921,0.9021,0.88963,0.96185,0.9613,0.16494,0.41452,0.48527,0.000576768,0.000576768,0.000576768
19,1202.34,0.23041,0.82035,0.96369,0.91255,0.91558,0.97213,0.96588,0.20317,0.37087,0.52567,0.000545342,0.000545342,0.000545342
20,1273.33,0.22675,0.81438,0.96349,0.79113,0.84657,0.93094,0.93034,0.16529,0.76708,0.49785,0.000513917,0.000513917,0.000513917
21,1342.87,0.22587,0.7945,0.96361,0.8591,0.877,0.97255,0.97125,0.18218,0.4543,0.49262,0.000482491,0.000482491,0.000482491
22,1412.74,0.22472,0.76293,0.96382,0.92575,0.94756,0.98355,0.98263,0.14809,0.32698,0.47118,0.000451066,0.000451066,0.000451066
23,1480.9,0.2142,0.74964,0.95536,0.95631,0.94123,0.98736,0.98736,0.14136,0.26783,0.47314,0.000419641,0.000419641,0.000419641
24,1550.03,0.21258,0.71908,0.9585,0.91327,0.93457,0.97947,0.97922,0.12755,0.36833,0.4467,0.000388215,0.000388215,0.000388215
25,1620.12,0.21415,0.72287,0.95872,0.94537,0.90157,0.98516,0.98503,0.136,0.35851,0.45963,0.00035679,0.00035679,0.00035679
26,1700.52,0.17321,0.32667,0.9703,0.90371,0.92802,0.98474,0.9845,0.12765,0.35413,0.45661,0.000325364,0.000325364,0.000325364
27,1770.81,0.15656,0.29267,0.96181,0.91608,0.94723,0.98076,0.98076,0.12764,0.29878,0.47015,0.000293939,0.000293939,0.000293939
28,1840.12,0.14412,0.25702,0.9436,0.96339,0.93569,0.98655,0.98655,0.10027,0.24088,0.44627,0.000262513,0.000262513,0.000262513
29,1910.1,0.14074,0.2261,0.95174,0.97287,0.96186,0.99124,0.99124,0.09098,0.18385,0.43032,0.000231088,0.000231088,0.000231088
30,1980.18,0.13645,0.19164,0.94386,0.97832,0.97588,0.99418,0.99418,0.10324,0.1648,0.43091,0.000199663,0.000199663,0.000199663
31,2049.57,0.13299,0.17087,0.93752,0.98722,0.98623,0.99448,0.99448,0.09319,0.14723,0.42531,0.000168237,0.000168237,0.000168237
32,2119.82,0.1294,0.15022,0.93565,0.99102,0.99024,0.99485,0.99485,0.10162,0.13154,0.43901,0.000136812,0.000136812,0.000136812
33,2189.96,0.12317,0.1351,0.93748,0.99385,0.98262,0.99393,0.99393,0.08541,0.11524,0.41714,0.000105386,0.000105386,0.000105386
34,2260.07,0.11376,0.13621,0.92634,0.9945,0.99311,0.99489,0.99489,0.06759,0.09564,0.39889,7.39609e-05,7.39609e-05,7.39609e-05
35,2329.96,0.11368,0.11722,0.92517,0.99761,0.99445,0.99491,0.99491,0.07129,0.09279,0.40069,4.25354e-05,4.25354e-05,4.25354e-05
