epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2751,1.34245,3.39787,1.67208,0.30772,0.47568,0.24487,0.12702,2.03201,4.70772,2.04714,0.000300788,0.000300788,0.000300788
2,70.0283,1.28539,2.32745,1.64277,0.26891,0.2128,0.08583,0.03339,2.57375,4.85888,2.34844,0.000591833,0.000591833,0.000591833
3,104.62,1.31243,2.23445,1.64315,0.17984,0.2636,0.18243,0.11171,2.43648,30.3075,3.57828,0.00087088,0.00087088,0.00087088
4,139.146,1.25339,2.09515,1.60217,0.56338,0.32301,0.3158,0.19312,2.05622,3.93115,1.98845,0.000855005,0.000855005,0.000855005
5,173.494,1.30448,2.13208,1.64321,0.35564,0.41116,0.29861,0.1886,2.06146,3.6617,1.94567,0.000837007,0.000837007,0.000837007
6,207.715,1.19632,2.06378,1.56893,0.29122,0.46848,0.3541,0.23797,1.96265,2.69484,1.88595,0.000819009,0.000819009,0.000819009
7,242.201,1.23698,2.05186,1.59419,0.60336,0.38717,0.41517,0.30287,1.85691,2.63311,1.83299,0.000801011,0.000801011,0.000801011
8,276.665,1.18273,1.92568,1.54653,0.58941,0.44342,0.41874,0.3305,1.80264,2.49754,1.78113,0.000783013,0.000783013,0.000783013
9,311.053,1.16871,1.88527,1.53545,0.56364,0.37036,0.38489,0.28612,1.83704,2.42818,1.8231,0.000765014,0.000765014,0.000765014
10,345.705,1.1097,1.82633,1.49395,0.40829,0.52255,0.46966,0.3262,1.81624,2.54588,1.72114,0.000747016,0.000747016,0.000747016
11,380.119,1.1345,1.87473,1.51723,0.46927,0.53671,0.50952,0.40674,1.70418,2.17568,1.70278,0.000729018,0.000729018,0.000729018
12,414.59,1.02009,1.68593,1.43061,0.40185,0.57232,0.51205,0.39332,1.69773,2.15646,1.72098,0.00071102,0.00071102,0.00071102
13,448.995,1.01539,1.65412,1.40121,0.48625,0.52804,0.51318,0.38402,1.67563,2.21341,1.65617,0.000693022,0.000693022,0.000693022
14,483.849,1.05662,1.65161,1.45293,0.54756,0.53542,0.54134,0.39631,1.70256,2.03664,1.66544,0.000675023,0.000675023,0.000675023
15,518.42,1.02059,1.62465,1.40068,0.57688,0.58335,0.56057,0.39251,1.71407,1.99504,1.71249,0.000657025,0.000657025,0.000657025
16,552.868,1.004,1.53074,1.40296,0.54515,0.62377,0.60492,0.43327,1.65274,1.87936,1.59097,0.000639027,0.000639027,0.000639027
17,587.812,0.98722,1.48812,1.35815,0.67383,0.54951,0.59472,0.47597,1.63968,1.9424,1.59133,0.000621029,0.000621029,0.000621029
18,622.704,0.95721,1.55626,1.35168,0.5131,0.54647,0.49915,0.37275,1.60706,2.03379,1.58432,0.000603031,0.000603031,0.000603031
19,657.142,0.96164,1.51289,1.38083,0.64427,0.57341,0.60256,0.47883,1.57461,1.85984,1.57347,0.000585032,0.000585032,0.000585032
20,691.817,0.9729,1.49686,1.37266,0.55679,0.62014,0.62201,0.4896,1.56308,1.82103,1.57196,0.000567034,0.000567034,0.000567034
21,726.584,0.97864,1.46645,1.36562,0.61581,0.56447,0.58426,0.46059,1.61059,1.90106,1.60344,0.000549036,0.000549036,0.000549036
22,761.04,0.9331,1.47272,1.34182,0.67839,0.55485,0.59733,0.46677,1.58913,1.89625,1.58399,0.000531038,0.000531038,0.000531038
23,795.575,0.9202,1.37783,1.31918,0.53872,0.56602,0.56923,0.44838,1.54928,1.83361,1.51429,0.00051304,0.00051304,0.00051304
24,830.065,0.916,1.34568,1.2949,0.61218,0.61806,0.62578,0.50567,1.56923,1.74455,1.5334,0.000495041,0.000495041,0.000495041
25,864.901,0.90563,1.36229,1.32074,0.61099,0.59836,0.62354,0.50658,1.53513,1.75379,1.5087,0.000477043,0.000477043,0.000477043
26,899.869,0.87237,1.26803,1.31588,0.5945,0.63768,0.6204,0.49782,1.55186,1.79017,1.52963,0.000459045,0.000459045,0.000459045
27,934.555,0.84802,1.26608,1.28682,0.55119,0.60417,0.61773,0.46795,1.55662,1.71355,1.53254,0.000441047,0.000441047,0.000441047
28,969.199,0.92042,1.29785,1.30772,0.68521,0.61022,0.62901,0.50175,1.54257,1.67577,1.52442,0.000423049,0.000423049,0.000423049
29,1003.78,0.88805,1.24044,1.3009,0.64187,0.60521,0.62113,0.48736,1.49712,1.70849,1.47793,0.00040505,0.00040505,0.00040505
30,1038.59,0.81028,1.20345,1.26468,0.69214,0.58898,0.65532,0.52068,1.53382,1.65936,1.49604,0.000387052,0.000387052,0.000387052
31,1073.37,0.86199,1.20393,1.27896,0.6524,0.59794,0.63867,0.49817,1.50967,1.68309,1.50316,0.000369054,0.000369054,0.000369054
32,1107.99,0.82498,1.1973,1.25213,0.67276,0.6747,0.67969,0.53335,1.51186,1.63114,1.48674,0.000351056,0.000351056,0.000351056
33,1142.79,0.86664,1.21737,1.27956,0.67595,0.65216,0.66599,0.52627,1.4644,1.58725,1.47128,0.000333058,0.000333058,0.000333058
34,1177.5,0.83099,1.14644,1.25361,0.74284,0.61247,0.67485,0.53698,1.47697,1.59873,1.457,0.000315059,0.000315059,0.000315059
35,1212.26,0.79573,1.13146,1.23115,0.70329,0.62143,0.66816,0.52964,1.46803,1.58836,1.45245,0.000297061,0.000297061,0.000297061
36,1247.13,0.79037,1.06241,1.22868,0.67142,0.64869,0.69372,0.54794,1.50549,1.55116,1.48326,0.000279063,0.000279063,0.000279063
37,1282.16,0.77278,1.07425,1.22631,0.71014,0.59387,0.6959,0.55422,1.46175,1.56325,1.43605,0.000261065,0.000261065,0.000261065
38,1316.86,0.76272,1.0657,1.19974,0.6874,0.60299,0.65963,0.49381,1.49385,1.56977,1.46371,0.000243067,0.000243067,0.000243067
39,1351.35,0.75191,1.0551,1.19992,0.7115,0.63487,0.69201,0.54635,1.45126,1.50249,1.4411,0.000225068,0.000225068,0.000225068
40,1386,0.78278,1.03594,1.20736,0.77013,0.6509,0.72409,0.57818,1.44739,1.38769,1.44545,0.00020707,0.00020707,0.00020707
41,1426.49,0.95905,1.09335,1.31138,0.69989,0.69449,0.71437,0.56806,1.46339,1.47189,1.44624,0.000189072,0.000189072,0.000189072
42,1460.88,0.93681,0.93625,1.26564,0.68589,0.67785,0.71118,0.56275,1.44631,1.43635,1.42311,0.000171074,0.000171074,0.000171074
43,1495.29,0.90834,0.89937,1.25829,0.77798,0.67448,0.71478,0.57196,1.43605,1.43877,1.42442,0.000153076,0.000153076,0.000153076
44,1529.85,0.87153,0.86398,1.23299,0.77282,0.64842,0.72544,0.58121,1.40253,1.44215,1.38158,0.000135077,0.000135077,0.000135077
45,1564.44,0.88813,0.83481,1.243,0.66552,0.70055,0.71488,0.57736,1.40676,1.43529,1.37501,0.000117079,0.000117079,0.000117079
46,1598.99,0.85245,0.78623,1.1914,0.72643,0.66891,0.71473,0.58466,1.41416,1.40711,1.37839,9.9081e-05,9.9081e-05,9.9081e-05
47,1633.56,0.81991,0.77048,1.18574,0.73215,0.69862,0.73772,0.58995,1.41551,1.37877,1.38405,8.10828e-05,8.10828e-05,8.10828e-05
48,1668.17,0.82307,0.73605,1.19121,0.76625,0.66818,0.72201,0.58624,1.4197,1.35651,1.39347,6.30846e-05,6.30846e-05,6.30846e-05
49,1702.5,0.81319,0.72369,1.17179,0.81641,0.66447,0.73747,0.59269,1.40081,1.34092,1.36958,4.50864e-05,4.50864e-05,4.50864e-05
50,1737.07,0.8035,0.7339,1.16899,0.74121,0.68921,0.72548,0.58842,1.40005,1.35375,1.37016,2.70882e-05,2.70882e-05,2.70882e-05
