epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.1523,0.71281,2.93254,1.30476,0.26314,0.58093,0.37189,0.32332,0.85359,2.6302,1.05604,0.000118582,0.000118582,0.000118582
2,179.552,0.46503,1.82798,1.10225,0.50175,0.54279,0.53616,0.48575,0.71083,1.87463,0.92694,0.000231702,0.000231702,0.000231702
3,266.214,0.4684,1.63287,1.09983,0.61135,0.53845,0.60218,0.51424,0.86717,1.79945,1.0544,0.000338932,0.000338932,0.000338932
4,352.872,0.43988,1.51991,1.07883,0.58396,0.59636,0.62011,0.57356,0.72662,1.57976,0.91961,0.000330493,0.000330493,0.000330493
5,437.565,0.42316,1.40328,1.07031,0.56383,0.59876,0.62769,0.5745,0.69048,1.70783,0.91056,0.000321657,0.000321657,0.000321657
6,519.95,0.40887,1.34996,1.06757,0.67376,0.61487,0.68369,0.65324,0.71616,1.4452,0.85382,0.000312821,0.000312821,0.000312821
7,607.61,0.399,1.2624,1.05291,0.70703,0.74809,0.78365,0.74099,0.65701,1.13672,0.83191,0.000303986,0.000303986,0.000303986
8,700.659,0.37628,1.17339,1.0429,0.78126,0.72687,0.80241,0.76031,0.64147,1.06177,0.83243,0.00029515,0.00029515,0.00029515
9,795.029,0.36486,1.15274,1.03027,0.73822,0.75034,0.79672,0.74473,0.66798,1.15017,0.86158,0.000286314,0.000286314,0.000286314
10,884.62,0.35089,1.06832,1.02394,0.77145,0.81549,0.84716,0.80166,0.60671,0.90394,0.80072,0.000277478,0.000277478,0.000277478
11,1052.12,0.34708,1.04702,1.02454,0.83026,0.77329,0.83785,0.80649,0.63361,0.99363,0.81956,0.000268642,0.000268642,0.000268642
12,1238.04,0.33902,1.01216,1.01905,0.85132,0.82062,0.87189,0.83302,0.61658,0.80837,0.78153,0.000259807,0.000259807,0.000259807
13,1715.33,0.3387,0.9746,1.01525,0.88344,0.85632,0.89288,0.85038,0.5989,0.72843,0.76826,0.000250971,0.000250971,0.000250971
14,1809.81,0.33008,0.96988,1.01105,0.8625,0.853,0.88824,0.84508,0.54879,0.72767,0.73408,0.000242135,0.000242135,0.000242135
15,1905.79,0.3254,0.92574,1.00713,0.84085,0.8021,0.86997,0.8182,0.59506,0.84386,0.76497,0.000233299,0.000233299,0.000233299
16,1993.76,0.32061,0.90736,1.00347,0.89885,0.88369,0.90002,0.85267,0.55764,0.67919,0.75305,0.000224464,0.000224464,0.000224464
17,2080.59,0.31264,0.88752,1.00131,0.83806,0.86884,0.88862,0.84357,0.58271,0.77249,0.77889,0.000215628,0.000215628,0.000215628
18,2177.49,0.31191,0.85073,0.99823,0.84728,0.87114,0.8904,0.8142,0.65185,0.79087,0.81552,0.000206792,0.000206792,0.000206792
19,2275.8,0.31307,0.8468,1.00253,0.88838,0.88125,0.89412,0.85396,0.58902,0.6427,0.78292,0.000197957,0.000197957,0.000197957
20,2373.66,0.29748,0.81161,0.99048,0.86956,0.8963,0.90475,0.86413,0.56236,0.63133,0.73957,0.000189121,0.000189121,0.000189121
21,2471.25,0.29385,0.78814,0.99177,0.90926,0.87449,0.90727,0.86273,0.55837,0.59399,0.73204,0.000180285,0.000180285,0.000180285
22,2571.22,0.29314,0.79207,0.98885,0.88921,0.88251,0.89867,0.85298,0.54233,0.61262,0.73425,0.000171449,0.000171449,0.000171449
23,2667.15,0.2983,0.77773,0.98746,0.88619,0.89681,0.90857,0.86153,0.56343,0.62008,0.76397,0.000162613,0.000162613,0.000162613
24,2762.71,0.28505,0.73697,0.97915,0.91521,0.89447,0.90809,0.86233,0.52433,0.57503,0.71828,0.000153778,0.000153778,0.000153778
25,2860.25,0.27677,0.72238,0.98273,0.89923,0.90831,0.90428,0.86343,0.52132,0.54932,0.71048,0.000144942,0.000144942,0.000144942
26,2958.84,0.26899,0.70525,0.97213,0.92203,0.89578,0.90906,0.86793,0.52918,0.5751,0.70605,0.000136106,0.000136106,0.000136106
27,3054.72,0.27907,0.71083,0.97677,0.88927,0.9058,0.90344,0.86473,0.517,0.53349,0.70336,0.000127271,0.000127271,0.000127271
28,3148.45,0.26565,0.69479,0.97322,0.89204,0.90788,0.90559,0.86233,0.52901,0.55812,0.71708,0.000118435,0.000118435,0.000118435
29,3240.93,0.27252,0.68964,0.97502,0.91352,0.90372,0.90441,0.86509,0.51666,0.53203,0.70473,0.000109599,0.000109599,0.000109599
30,3332.88,0.25974,0.66586,0.96724,0.91339,0.89872,0.91257,0.87098,0.49549,0.50003,0.68015,0.000100763,0.000100763,0.000100763
31,3430.44,0.28407,0.30027,0.99562,0.90772,0.90462,0.91043,0.86842,0.50278,0.51928,0.68773,9.19275e-05,9.19275e-05,9.19275e-05
32,3521.55,0.27379,0.26658,0.98382,0.91501,0.90151,0.91169,0.86959,0.50261,0.50946,0.69233,8.30917e-05,8.30917e-05,8.30917e-05
33,3612.44,0.2635,0.25169,0.97909,0.90534,0.91143,0.91426,0.87093,0.49251,0.48874,0.68141,7.4256e-05,7.4256e-05,7.4256e-05
34,3701.3,0.25422,0.23631,0.97139,0.91983,0.91375,0.91723,0.87376,0.4964,0.48074,0.67661,6.54203e-05,6.54203e-05,6.54203e-05
