epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.4464,0.64142,2.71895,1.2821,0.55144,0.45255,0.36674,0.3346,0.39638,2.09039,0.73023,0.000157935,0.000157935,0.000157935
2,124.426,0.36105,1.70356,1.04977,0.45971,0.6071,0.56634,0.54934,0.31436,1.47109,0.67306,0.000310333,0.000310333,0.000310333
3,185.203,0.34828,1.51978,1.03808,0.53955,0.51335,0.54825,0.51991,0.30832,1.51218,0.64526,0.000456448,0.000456448,0.000456448
4,245.844,0.34465,1.44483,1.03272,0.47403,0.60752,0.57261,0.567,0.22986,1.47631,0.5907,0.000447726,0.000447726,0.000447726
5,306.834,0.31836,1.34232,1.01507,0.86717,0.71275,0.85311,0.8343,0.27933,0.78694,0.66576,0.000438301,0.000438301,0.000438301
6,367.629,0.3037,1.24104,1.00894,0.75412,0.84116,0.88822,0.88207,0.23718,0.69538,0.58841,0.000428876,0.000428876,0.000428876
7,428.215,0.28297,1.17145,0.99716,0.719,0.63092,0.69857,0.68574,0.27048,1.3023,0.5928,0.000419451,0.000419451,0.000419451
8,488.951,0.28974,1.12453,0.99646,0.79168,0.77396,0.86095,0.84593,0.24491,0.96838,0.6258,0.000410026,0.000410026,0.000410026
9,549.785,0.2688,1.07026,0.98699,0.79118,0.83258,0.88532,0.88231,0.20621,0.6858,0.55993,0.000400602,0.000400602,0.000400602
10,610.867,0.26034,1.01449,0.98197,0.74232,0.81348,0.86603,0.86028,0.19786,0.79585,0.5458,0.000391177,0.000391177,0.000391177
11,671.561,0.26577,0.99817,0.98025,0.91385,0.89171,0.9597,0.95875,0.19842,0.37711,0.52474,0.000381752,0.000381752,0.000381752
12,732.264,0.25681,0.9619,0.97989,0.85128,0.88573,0.94878,0.94543,0.2065,0.45907,0.56128,0.000372327,0.000372327,0.000372327
13,792.854,0.24892,0.92824,0.97117,0.91958,0.90544,0.96804,0.96768,0.14923,0.35647,0.49841,0.000362902,0.000362902,0.000362902
14,853.333,0.23956,0.8918,0.96831,0.86212,0.85426,0.91591,0.91567,0.13275,0.4951,0.47307,0.000353478,0.000353478,0.000353478
15,913.693,0.23492,0.90244,0.96767,0.90657,0.91559,0.94584,0.94481,0.18533,0.36684,0.52579,0.000344053,0.000344053,0.000344053
16,973.958,0.23431,0.87592,0.96708,0.93883,0.94537,0.97214,0.97168,0.17945,0.26405,0.50986,0.000334628,0.000334628,0.000334628
17,1034.22,0.23109,0.8453,0.9635,0.97125,0.95787,0.9897,0.98934,0.13861,0.20258,0.47059,0.000325203,0.000325203,0.000325203
18,1094.52,0.22268,0.8171,0.96088,0.9316,0.86884,0.96594,0.96323,0.19183,0.48162,0.51127,0.000315778,0.000315778,0.000315778
19,1154.58,0.21969,0.79654,0.95835,0.9575,0.95109,0.9883,0.98609,0.1804,0.28106,0.50067,0.000306354,0.000306354,0.000306354
20,1214.83,0.21466,0.76544,0.95537,0.96961,0.97112,0.98611,0.98604,0.15841,0.2123,0.48863,0.000296929,0.000296929,0.000296929
21,1275.36,0.21752,0.77455,0.96029,0.9512,0.93251,0.98683,0.9832,0.1507,0.27898,0.48794,0.000287504,0.000287504,0.000287504
22,1335.65,0.21513,0.74011,0.95731,0.95472,0.95437,0.97581,0.97574,0.17175,0.33801,0.50897,0.000278079,0.000278079,0.000278079
23,1395.58,0.20594,0.71545,0.95202,0.9847,0.97823,0.99286,0.99228,0.15416,0.19353,0.47926,0.000268654,0.000268654,0.000268654
24,1455.97,0.2038,0.71556,0.95327,0.98288,0.96409,0.99289,0.99273,0.12649,0.19846,0.45486,0.00025923,0.00025923,0.00025923
25,1516.05,0.20656,0.70134,0.95165,0.97499,0.98243,0.99297,0.9893,0.15691,0.19142,0.50433,0.000249805,0.000249805,0.000249805
26,1576.08,0.20588,0.68742,0.95002,0.96706,0.97055,0.98623,0.9843,0.15549,0.20983,0.49374,0.00024038,0.00024038,0.00024038
27,1636.1,0.19516,0.67913,0.94398,0.97706,0.98194,0.99352,0.99352,0.14005,0.18181,0.47279,0.000230955,0.000230955,0.000230955
28,1696.54,0.19424,0.65916,0.94663,0.98592,0.96638,0.98934,0.98892,0.13563,0.18494,0.4475,0.00022153,0.00022153,0.00022153
29,1756.27,0.1925,0.6361,0.94468,0.99136,0.99168,0.99315,0.99266,0.142,0.15758,0.47394,0.000212106,0.000212106,0.000212106
30,1816.06,0.19515,0.64498,0.94632,0.99098,0.98863,0.99284,0.99284,0.10439,0.12947,0.42584,0.000202681,0.000202681,0.000202681
31,1875.92,0.18962,0.63896,0.94731,0.97989,0.98759,0.9946,0.9946,0.13205,0.15138,0.45512,0.000193256,0.000193256,0.000193256
32,1935.91,0.18697,0.62498,0.94213,0.98433,0.98,0.99376,0.9934,0.12174,0.15058,0.43698,0.000183831,0.000183831,0.000183831
33,1995.81,0.17911,0.58788,0.93605,0.99141,0.98519,0.99465,0.99465,0.11243,0.13506,0.44192,0.000174406,0.000174406,0.000174406
34,2055.8,0.17726,0.58359,0.93626,0.9933,0.9892,0.99367,0.9935,0.13805,0.13215,0.46443,0.000164982,0.000164982,0.000164982
35,2115.66,0.18303,0.59017,0.94205,0.99354,0.98516,0.99467,0.99467,0.12658,0.14759,0.44587,0.000155557,0.000155557,0.000155557
36,2175.58,0.17936,0.5704,0.94237,0.99296,0.98877,0.99456,0.99456,0.11882,0.1416,0.45349,0.000146132,0.000146132,0.000146132
37,2235.3,0.17199,0.53923,0.93048,0.98997,0.98469,0.99489,0.99489,0.13374,0.14988,0.45327,0.000136707,0.000136707,0.000136707
38,2295.22,0.1701,0.55534,0.93691,0.99319,0.99273,0.995,0.995,0.13099,0.12398,0.45633,0.000127282,0.000127282,0.000127282
39,2355,0.16294,0.54499,0.93079,0.99469,0.9916,0.99303,0.99303,0.1235,0.13146,0.4502,0.000117858,0.000117858,0.000117858
40,2414.81,0.1669,0.53095,0.93227,0.98591,0.99248,0.99439,0.99439,0.11952,0.12925,0.45316,0.000108433,0.000108433,0.000108433
41,2479.42,0.15543,0.16324,0.95524,0.99578,0.99824,0.995,0.995,0.09366,0.11132,0.42461,9.9008e-05,9.9008e-05,9.9008e-05
42,2539.05,0.14046,0.1345,0.95096,0.99475,0.98203,0.99464,0.99464,0.08141,0.12093,0.41401,8.95832e-05,8.95832e-05,8.95832e-05
43,2598.46,0.12554,0.1251,0.93002,0.99321,0.99382,0.99405,0.99405,0.08887,0.11135,0.42388,8.01584e-05,8.01584e-05,8.01584e-05
44,2657.86,0.12322,0.11064,0.93792,0.99523,0.99477,0.99487,0.99487,0.09336,0.10521,0.42093,7.07336e-05,7.07336e-05,7.07336e-05
45,2717.43,0.12453,0.11062,0.93394,0.99701,0.99505,0.99494,0.99494,0.07634,0.08693,0.40966,6.13088e-05,6.13088e-05,6.13088e-05
46,2776.85,0.11884,0.10138,0.92617,0.99669,0.99612,0.9934,0.9934,0.07416,0.08424,0.40944,5.1884e-05,5.1884e-05,5.1884e-05
47,2836.24,0.11391,0.09688,0.92744,0.99784,0.99658,0.99497,0.99497,0.07078,0.07936,0.3993,4.24592e-05,4.24592e-05,4.24592e-05
48,2895.66,0.11147,0.0957,0.92474,0.99729,0.99774,0.99497,0.99497,0.06648,0.07596,0.3945,3.30344e-05,3.30344e-05,3.30344e-05
49,2955.19,0.11067,0.09134,0.92987,0.9967,0.99733,0.99497,0.99497,0.05828,0.07159,0.39176,2.36096e-05,2.36096e-05,2.36096e-05
