epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.849,0.61414,2.3863,1.27854,0.2781,0.25047,0.14442,0.11263,0.69293,3.01909,1.42336,0.000332463,0.000332463,0.0670862
2,372.371,0.50835,1.97562,1.17588,0.19106,0.32465,0.09915,0.08618,0.53696,3.24082,1.26762,0.000657557,0.000657557,0.0340779
3,557.878,0.46933,1.88466,1.14503,0.42116,0.3946,0.31052,0.2667,0.55816,2.10583,1.23022,0.000974401,0.000974401,0.00106143
4,750.766,0.43864,1.80123,1.12043,0.31042,0.54517,0.35131,0.2969,0.5468,1.81484,1.17013,0.000962875,0.000962875,0.000962875
5,933.112,0.40537,1.71716,1.09451,0.27012,0.62138,0.43688,0.38165,0.54368,1.68815,1.18357,0.0009505,0.0009505,0.0009505
6,1116.34,0.38686,1.6713,1.07713,0.50826,0.56748,0.47342,0.42638,0.40538,1.55397,1.02824,0.000938125,0.000938125,0.000938125
7,1297.46,0.37987,1.64929,1.07605,0.7917,0.16745,0.19689,0.17526,0.44639,3.31107,1.06176,0.00092575,0.00092575,0.00092575
8,1475.46,0.35268,1.58387,1.05229,0.44298,0.49356,0.43482,0.37803,0.56166,1.88241,1.24035,0.000913375,0.000913375,0.000913375
9,1670.28,0.34901,1.55517,1.05553,0.2871,0.54162,0.39981,0.35458,0.52692,1.9037,1.13283,0.000901,0.000901,0.000901
10,1870.61,0.33687,1.49543,1.04206,0.46813,0.52959,0.51868,0.47176,0.4462,1.45335,1.05358,0.000888625,0.000888625,0.000888625
11,2047.84,0.32962,1.47819,1.04168,0.37464,0.53405,0.49026,0.4427,0.41315,1.58843,1.00618,0.00087625,0.00087625,0.00087625
12,2244,0.3162,1.43743,1.03162,0.45908,0.5509,0.50434,0.45879,0.47255,1.72311,1.07325,0.000863875,0.000863875,0.000863875
13,2489.49,0.3127,1.40545,1.02692,0.40827,0.6028,0.51765,0.4574,0.51044,1.5681,1.14075,0.0008515,0.0008515,0.0008515
14,2732.56,0.30408,1.38558,1.02016,0.66467,0.51278,0.56285,0.49205,0.48051,1.51505,1.09047,0.000839125,0.000839125,0.000839125
15,2911.21,0.30849,1.35328,1.02499,0.52774,0.70725,0.62383,0.56077,0.45972,1.35702,1.07145,0.00082675,0.00082675,0.00082675
16,3088.47,0.30068,1.31948,1.01742,0.67174,0.5295,0.55814,0.51413,0.36141,1.56885,0.97731,0.000814375,0.000814375,0.000814375
17,3265.32,0.29945,1.29824,1.01623,0.5062,0.68941,0.60927,0.55268,0.44858,1.51487,1.04364,0.000802,0.000802,0.000802
18,3441.52,0.2825,1.25502,1.00795,0.4911,0.57969,0.54697,0.4915,0.46281,1.7478,1.073,0.000789625,0.000789625,0.000789625
19,3618.93,0.28265,1.25496,1.0072,0.64875,0.74137,0.77619,0.69466,0.51385,0.99669,1.12916,0.00077725,0.00077725,0.00077725
20,3796.71,0.28143,1.218,1.00544,0.58494,0.67246,0.7129,0.63384,0.50659,1.19286,1.10723,0.000764875,0.000764875,0.000764875
21,3973.99,0.28044,1.21054,1.00914,0.5807,0.75129,0.70296,0.63374,0.46162,1.07822,1.05638,0.0007525,0.0007525,0.0007525
22,4152.19,0.27043,1.18929,0.99854,0.64107,0.72877,0.72196,0.64418,0.46349,1.16493,1.06647,0.000740125,0.000740125,0.000740125
23,4329.41,0.26908,1.148,0.99981,0.66018,0.71186,0.74264,0.6628,0.49592,0.95619,1.09681,0.00072775,0.00072775,0.00072775
24,4507.68,0.26589,1.15319,0.99781,0.49651,0.67009,0.64233,0.5284,0.63748,1.59851,1.21867,0.000715375,0.000715375,0.000715375
25,4684.17,0.26348,1.12613,0.99399,0.65381,0.72253,0.7488,0.67764,0.44302,1.07706,1.03826,0.000703,0.000703,0.000703
26,4860.41,0.25651,1.1035,0.99009,0.66637,0.77938,0.79937,0.70847,0.4744,0.92268,1.06774,0.000690625,0.000690625,0.000690625
27,5064.12,0.25975,1.08886,0.99351,0.63906,0.67174,0.71592,0.65226,0.43267,1.29663,1.03894,0.00067825,0.00067825,0.00067825
28,5329.61,0.25476,1.08295,0.99034,0.66194,0.76512,0.75762,0.68104,0.49102,1.08125,1.13553,0.000665875,0.000665875,0.000665875
29,5594.95,0.24744,1.04906,0.98647,0.62489,0.63863,0.68466,0.60451,0.51397,1.28025,1.14912,0.0006535,0.0006535,0.0006535
30,5868.17,0.24553,1.0302,0.98367,0.67356,0.74745,0.79094,0.70881,0.45404,0.97277,1.05481,0.000641125,0.000641125,0.000641125
31,6143.54,0.25036,1.04659,0.98713,0.75413,0.80024,0.83067,0.74799,0.50192,0.77053,1.11201,0.00062875,0.00062875,0.00062875
32,6416.16,inf,1.00325,0.98294,0.73117,0.84442,0.86529,0.77991,0.47724,0.75217,1.07768,0.000616375,0.000616375,0.000616375
33,6696.52,0.2401,1.00679,0.97926,0.69081,0.69692,0.72911,0.65063,0.48506,1.14914,1.10341,0.000604,0.000604,0.000604
34,6918.48,0.23785,0.98214,0.97827,0.73239,0.8298,0.84278,0.75351,0.46604,0.79894,1.07519,0.000591625,0.000591625,0.000591625
35,7140.27,0.23833,0.97323,0.97664,0.74225,0.83275,0.83858,0.76276,0.43711,0.77316,1.03128,0.00057925,0.00057925,0.00057925
36,7325.2,0.23411,0.95539,0.97612,0.78821,0.83455,0.88176,0.80332,0.41022,0.73331,1.00642,0.000566875,0.000566875,0.000566875
37,7503.89,0.23107,0.93917,0.9717,0.77438,0.8033,0.85318,0.75039,0.52304,0.90442,1.13518,0.0005545,0.0005545,0.0005545
38,7686.16,0.23609,0.94166,0.97853,0.74701,0.85793,0.84733,0.74753,0.4589,0.87378,1.06843,0.000542125,0.000542125,0.000542125
39,7862.35,0.23372,0.93458,0.97513,0.78172,0.81769,0.86494,0.77971,0.4383,0.79989,1.04207,0.00052975,0.00052975,0.00052975
40,8038.49,0.22491,0.9121,0.97129,0.90443,0.88505,0.94103,0.85544,0.41753,0.52144,1.00283,0.000517375,0.000517375,0.000517375
41,8213.4,0.22289,0.90091,0.96905,0.81004,0.78971,0.84482,0.77238,0.42849,0.76972,1.00978,0.000505,0.000505,0.000505
42,8389.05,0.22388,0.90202,0.97182,0.74041,0.81844,0.84222,0.77401,0.40812,0.86156,1.00753,0.000492625,0.000492625,0.000492625
43,8565.09,0.22035,0.88945,0.96836,0.7934,0.67664,0.75606,0.68804,0.43351,1.37367,1.03501,0.00048025,0.00048025,0.00048025
44,8740.21,0.21995,0.89781,0.96913,0.8117,0.85614,0.87717,0.79915,0.45863,0.73238,1.05534,0.000467875,0.000467875,0.000467875
